name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Land Mecklenburg-Vorpommern vertreten durch 
das Straßenbauamt Schwerin",Kosten für Leistungen von Architekten und Ingenieuren,2007,"21,876,181.84",
"Land Mecklenburg-Vorpommern, vertreten durch 
Straßenbauamt Schwerin","Um- und Ausbau von Landesstraßen nach Maßgabe des 
Straßenbauplanes",2007,"15,314,749.30",
Nordex Energy GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Windkraftanlagen einschließlich der Rotorblattfertigung in 18147 
Rostock, Große Rampe 3",2007,"15,064,100.00",
Landeshauptstadt Schwerin ,"Schlosspromenade Schwerin, Teilbereich 1 ""Grüne"" und 
""Platzartige Promenade""",2007,"14,807,444.83",
Hansestadt Rostock ,"Maritimes Gewerbegebiet im Seehafen Rostock, 3. Bauabschnitt",2008,"13,225,093.00",
Gemeinde Ostseebad Boltenhagen,"Erschließung Marina Boltenhagen (Lose 10, 12 und 23)",2007,"12,808,145.10",
"Kur- und Strandhotel Usedom GmbH & Co. 
Investitions - KG","Errichtung einer Betriebsstätte des Frendenverkehrs (Grandhotel 
mit Villa Meeresstrand, Mare Balticum und Seepavillon) in 17429 
Seebad Heringsdorf / OT Bansin, Strandpromenade 20, 21 und 23,
"Universität Rostock Institut für Biomedizinische 
Technik","„Grundlagenuntersuchung zur Entwicklung neuer permanenter und 
abbaubarer Stentplattformen und Local-Drug-Delivery-Systeme“",2008,"61,848.00"
Gesundheitsinsel Rügen e. V. ,"Aufbau einer Gesundheitsinsel Rügen zur Verbesserung der 
gesundheitlichen Betreuung von Einwohnern der Insel Rügen 
durch Kooperation und Vernetzung aller Interessengruppen",2008,"60,000.00"
Gemeinde Eldena durch das Amt Grabow,Einbau einer Wärmepumpe in die Kita Eldena,2008,"59,950.00"
Wohnungsbaugesellschaft mbH Malchow ,Errichtung einer 70 KW Sole-Wasser-Wärmepumpenanlage,2008,"59,500.00"
"Manfred Meyer und Claus Delfs in Energie GbR 
Krempin","Errichtung und Betrieb einer Photovoltaikanlage in 18233 Krempin, 
Ausbau Bolland Flurstück 16/2",2008,"58,600.00"
Grabower Süsswaren GmbH,"Das Vorhaben umfasst die Entw. v. innovativen 
Saccharidkomplexen sowie ihrer Aufbereitung mit dem Ziel der 
Thermostabilisierung von Eiklarschäumen unter Verwendung 
neuartiger energiereduzierter Rohstoffe mit funktionellen 
Wasserbindungseigenschaften.",2008,"58,250.00"
Siegmund Hecht ,"Errichtung einer Betriebsstätte des Fremdenverkehrs 
(Wasserwanderführung/Bootsvermietung) in 17237 Kratzeburg, 
Dalmsdorf 6, Landkreis Mecklenburg-Strelitz",2007,"57,000.00"
Andreas Ruhnke Winsol Energy,"Errichtung + Betreibung einer PV-Anlage in der Neuendorfer 
Straße 15 in 17373 Ueckermünde",2008,"52,558.00"
IT for Marketing GbR,„Integrierte WiMAX/DVB-Netze mit hohem Komfort“,2008,"51,840.00"
GATRON GmbH,„Atmungspuffer für Ausdehnungsgefäße von Öltransformatoren“,2008,"50,000.00"
Gemeinde Lalendorf ,"Errichtung und Betrieb einer PV-Anlage, Seestraße 6, 18279 
Vietgest",2008,"49,965.58"
DRK KV Ostvorpommern e.V ,"Errichtung einer Photovoltaikanlage in 17438 Wolgast, 
Pestalozzistr. 44",2008,"47,600.00"
"Ländliche Dienstleistungs-, Transport- und 
Handelsgesellschaft mbH","Errichtung und Betrieb einer PV-Anlage in 18528 Bergen, 
Industriestr. 12",2008,"46,600.00"
TV Plus GmbH ,"Errichtung einer Betriebsstätte zur Erbringung von 
Dienstleistungen im Medienbereich in 19061 Schwerin, 
Schlossgartenallee 61, kreisfreie Stadt Schwerin",2007,"46,400.00"
Bäckerei Wildekopf GmbH ,"Errichtung einer Betriebsstätte zur Herstellung von Backwaren in 
17235 Neustrelitz, Gewerbepark Ost Nr. 4, Landkreis Mecklenburg-
Strelitz",2008,"45,900.00"
Glaserei Peper GmbH ,"Errichtung einer Betriebsstätte zur überwiegenden Herstellung von 
Glaserzeugnissen in 17033 Neubrandenburg, Mirabellenstraße 7, 
kreisfreie Stadt Neubrandenburg",2007,"45,300.00"
KW Alternativ Wärme GmbH ,"Energiesparcontracting Hochhaus Lankow der WGS Schwerin, 
Steigerung der Energieeffizienz im Breich Lüftung",2008,"44,900.00"
Hochschule Wismar ,"1. Lasermess- und Ausrichtungssystem, 2. Prüfplatz für 
Oberflächen, 3. Umlaufkolbenverdichter",2008,"43,273.00"
"Hochschule Wismar, University of Technologie, 
Business and Design, Fakultäz für 
Ingenieurwissenschaf",„TravelConsult im Dialog - Sprachdialogsysteme“,2008,"42,143.00"
"landaktiv-Verein für ökologische Landwirtschaft, 
umweltgerechte Fischerei und Gesundheit in M-V 
e. V.","Landwirtschaft, Tourismus und Gesundheitswirtschaft in 
Mecklenburg-Vorpommern vernetzen: Das Bio-Portal für 
Mecklenburg-Vorpommern",2008,"40,200.00"
Veach GmbH,"„Entwicklung eines Web-User- und Content-Management Moduls 
für Live-Video-Streaming“",2008,"40,080.00"
sdnord Systeme & Dienste GmbH,"Entw. e. Softwaresystemlsg., in der Daten von Maschinen, verw. 
Fluida, Schmierstellen, Entsorgungen, Verbrauch, Nutzung etc. 
dezentral verwaltet werden können u. in der RFID-Transponder für 
die Übermittlung und Speicherung von Daten vorgesehen sind.",2008,"40,070.00"
Gemeinde Lalendorf ,"Errichtung und Betrieb einer PV-Anlage, Ringstraße 29, 18279 
Lalendorf",2008,"39,783.58"
Hansestadt Greifswald ,"Computerkabinett für die kaufmännische Berufsschule der 
Hansestadt Greifswald",2008,"39,000.00"
Neustrelitzer Wohnungsgesellschaft mbH,"Errichtung und Betreibung einer Photovoltaikanlage in 17235 
Neustrelitz, Schwentnerstraße 92 - 95",2008,"38,000.00"
Trigenius GmbH,„Entwicklung einer standardisierten Holzenergieanlage“,2008,"37,500.00"
Pfanni GmbH & Co. OHG Stavenhagen,"“Entwicklung von Mini-Semmelknödeln gemischt und Mini-
Kartoffelknödeln gefüllt""",2007,"37,080.00"
Neustrelitzer Wohnungsgesellschaft mbH,"Errichtung und Betreibung einer Photovoltaikanlage in 17235 
Neustrelitz, Rudower Straße 32 - 34",2008,"36,600.00"
Neustrelitzer Wohnungsgesellschaft mbH,"Errichtung und Betreibung einer Photovoltaikanlage in 17235 
Neustrelitz, Rudower Straße 38 - 40",2008,"36,600.00"
Neustrelitzer Wohnungsgesellschaft mbH,"Errichtung und Betreibung einer Photovoltaikanlage in 17235 
Neustrelitz, Rudower Straße 35 - 37",2008,"36,600.00"
Neustrelitzer Wohnungsgesellschaft mbH,"Errichtung und Betreibung einer Photovoltaikanlage in 17235 
Neustrelitz, Rudower Straße 29 - 31",2008,"36,600.00"
"Lucy Gräfin von Bassewitz Gut Dalwitz 
Ferienwohnungen","Bau einer Nahwärmeleitung zur Getreidetrocknung und zur 
Heizung verschiedener Gebäude",2008,"36,400.00"
Institut für Polymertechnologien e.V.,„Polylay“,2008,"35,600.00"
Stadtwerke Pasewalk GmbH ,"Montage einer Photovoltaikanlage auf dem Dach des alten 
Öllagers HH2 auf dem Gelände der Stadtwerke Pasewalk GmbH",2008,"33,300.00"
Bäderverband M-V e.V.,Werbemaßnahmen des Bäderverbandes M-V,2007,"32,500.00"
Stadtwerke Pasewalk GmbH ,"Montage einer Photovoltaikanlage auf dem Dach des 
Lagergebäudes auf dem Gelände der Stadtwerke Pasewalk GmbH",2008,"31,800.00"
GESMEX GmbH,"„Patentanmeldung Schweißtechnologie sowie 
Fertigungsverfahren“",2008,"28,730.00"
GESMEX GmbH,„Patentanmeldung für AWHE in Hochdruck-Hydrierungsreaktoren“,2008,"28,600.00"
Verein für zukünftige Energien e.V. ,"Errichtung und Betreibung einer Photovoltaikanlage auf der 
Grundschule Marlow",2008,"28,300.00"
Ernst-Moritz-Arndt Universität Greifswald,"Multilabel Counters für Fluoreszent-, Lumineszenz- und 
Absorptionsmessungen",2008,"27,400.00"
Kulturverein Medewege e. V. ,"Installation einer bivalenten Wärmepumpe, kombiniert mit einem 
pelletsbetriebenen Stirling-BHKW mit dazugehörigem 
Nahwärmenetz",2008,"27,100.00"
Hoffrichter GmbH,„Beatmungsgerät mit variabler Druckanpassung“,2008,"26,940.00"
Thomas Ruhnke ,Errichtung und Betreiben einer Photovoltaik-Anlage,2008,"26,700.00"
Logic Way GmbH,"Entw. e. in Fahrzeugen nutzbaren Terminals, das über eine 
Niedrigenergie-Funkverbindung (ZigBEE), eine Bluetooth-
Schnittstelle, einen Konverter zum Fahrzeugnetzwerk (CAN), eine 
serielle Automatisierungsschnittstelle u. über einen RFID-Leser 
verfügt.",2008,"25,870.00"
Johann-Georg Jaeger regenerative Energien,"Errichtung und Betreibung einer Photovoltaikanlage auf dem Dach 
des Feuerwehrhauses der Gemeinde Mistorf zu 
Repräsentationszwecken",2008,"25,300.00"
Mathias Hehmann AGENS energie,Bau und Installation eines nachgeführten PV-Dachsystems,2008,"24,500.00"
"Ernst-Moritz-Arndt-Universität Greifswald 
Medizinische Fakultät, Institut für Pharmakologie 
Mathemat","„Grundlagenuntersuchungen zur Entwicklung neuer permanenter 
und abbaubarer Stentplattformen und Local-Drug-Delivery-
Systeme“",2008,"24,000.00"
"Universität Rostock, Fakultät für Informatik und 
Elektrotechnik, Institut für Informatik","""Maike - Mobile Assistenzsysteme für Intelligente Kooperierende 
Räume und Ensembles"" ",2008,"24,000.00"
Hoffrichter GmbH,„Bi-Level Gerät mit nachgeführtem Druckniveau“,2007,"23,860.00"
Institut für Polymertechnologien e.V.,"„Entwicklung eines polymerbasierten Layersystems zur 3D-
Versorgung und Analyse der Wachstumsbedingungen von 
Zellsystemen“",2008,"23,660.00"
BluePoint Medical GmbH & Co. KG,"""SpO2-Patent""",2008,"23,520.00"
"Manfred Meyer und Claus Delfs in Energie GbR 
Krempin","Errichtung und Betrieb einer PV-Anlage in 18233 Krempin, Ausbau 
Bolland 4",2008,"20,200.00"
"INP Greifswald Leibniz-Institut für Plasma-
forschung und Technologie e. V.","„Stimulierung des Zellwachstums in dreidimensionalen 
Stützgerüsten durch Gasentladungsplasma-gestützte 
Oberflächenveredelungen“",2008,"19,200.00"
Thünengut Tellow GmbH ,"Errichtung einer 21,7 kWp, dachparaellelen Photovoltaikanlage als 
Anlagenerweiterung einer bereits bestehenden 29,7 kWp PV-
Anlage",2008,"18,300.00"
AIRSENSE Analytics GmbH,„Verfahren und Messsystem zur Identifizierung von Gasen“ ,2008,"18,090.00"
"Universität Rostock, Fakultät für Informatik und 
Elektrotechnik, Institut für Informatik, Lehrstuhl ",„XML-editools“,2008,"18,000.00"
"Katja Horst und Ralf Horst in Katja und Ralf Horst 
GbR","Errichtung und Betrieb einer Solarthermianlge in 17217 Mallin, 
Meierei 5",2008,"17,400.00"
Torsten Ladewig Elektro,Errichtung und Betreibung einer Photovoltaik-Anlage,2008,"16,700.00"
Human Med AG,"„PCT-Anmeldung für eine Vorrichtung zur chirurgischen 
Behandlung des Katarakts“",2008,"16,420.00"
"Solaranlage Zarnekow Betriebs GbR Kathrin 
Kaschube, Christian & Peter Traxel und Andreas 
Jesse","Errichtung und Betreibung einer Photovoltaik-Anlage in 18513 
Glewitz OT Zarnekow",2008,"16,300.00"
MGT Maschinen- und Gerätebau GmbH,“Anmeldung von Schutzrechten auf Verwahrbehältnis“,2007,"16,130.00"
Human Med AG,"""PCT-Anmeldung für eine Erfindung bei der Behandlung von 
Wunden""",2008,"14,840.00"
AIRSENSE Analytics GmbH,"„Verfahren und Vorrichtung zur Charakterisierung von 
Gasemissionen in Flugzeugen“",2008,"14,703.00"
Stadtwerke Wismar GmbH ,Installation einer dachintegrieten Photovoltaikanlage in Wismar,2008,"14,000.00"
"Innovations- und Bildungszentrum Hohen Luckow 
e.V."," „Entwicklung eines komplexen 
Ballastwasserbehandlungssystems“",2008,"13,920.00"
Sabik Informationssysteme GmbH,„DMFC-System mit wechselbarem Stack“,2008,"13,350.00"
Sabik Informationssysteme GmbH,"„Verfahren zur Regelung der Methanolkonzentration in DMFC - 
Systemen“",2008,"13,350.00"
GTA Geoinformatik GmbH,"“PCT/EP-Anmeldungen - Verfahren zur Texturierung virtueller 
dreidimensionaler Objekte“",2007,"13,000.00"
RoweMed AG - Medical 4 Life,„RoweMultiSafe“,2008,"12,250.00"
"Institut für Implantattechnologie und 
Biomaterialien e.V.","„Grundlagenuntersuchungen für die Entwicklung von 
Prüfmethoden zur Cha-rakterisierung der Schichtintegrität, 
Ermüdungsfestigkeit, Degradation und Par-tikelfreisetzung von 
Drug-Eluting-Stentbeschichtungen“",2007,"12,000.00"
Christian Herlt SonnenEnergieSysteme,"„PCT-Anmeldung Verminderung des Feinstaubes bei der 
thermischen Vergasung“",2008,"11,380.00"
"INFOKOM Informations- und 
Kommunikationsgesellschaft mbH","“Patentanmeldungen zur Erfindung Telemedizinsystem im 
Ausland“",2007,"10,870.00"
PNP automotive GmbH,“Patentanmeldung Stabilisator“,2007,"10,700.00"
IT Dr. Gambert GmbH,"„US-Patentanmeldung bleifreier elektrochemischer 
Sauerstoffsensor“",2008,"8,570.00"
Heinz Buchholz ,Errichtung und betreibung einer Photovoltaikanlage,2008,"4,400.00"
Timkid GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,"2,220.00"
Stralsunder Möbelwerke GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,"1,430.00"
Thomas Meister MoLe Bootsbau,Förderung der Teilnahme an Messen und Ausstellungen,2008,"1,400.00",
"Land Mecklenburg-Vorpommern vertreten durch 
das Verkehrsministerium ",B96 Planungsleistungen,2007, -   ,
Leibniz- Institut für Katalyse e.V,"Zuschuss für den Ergänzungsbau für das Institut für Organische 
Katalyseforschung infolge der Ansiedlung des Bereiches 
Angewandte Chemie Berlin-Adlershof",2008,,5329000
Landeshauptstadt Schwerin,"Erschließungsmaßnahme Schlosspromenade Abschnitt 5, Teil 2, 
Landeshauptstadt Schwerin ""Schelfstadt / Altstadt / Südliche 
Werdervorstadt""",2008,,2968065.18
Stadt Sassnitz ,"Fährhafen Sassnitz - Umbau der Liegeplätze 4 und 5 zum 
Multifunktionsterminal",2008,,1023421
Mecklenburger Metallguß GmbH ,"Erweiterung einer Betriebsstätte zur überwiegenden Herstellung 
von Schiffspropellern in 17192 Waren, Teterower Straße 43-51, 
Landkreis Müritz",2008,,971300
Michael Raffelt ,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel 
""Hanse-Kogge"") in 17459 Koserow, Hauptstraße 22, Landkreis 
Ostvorpommern",2008,,882200
"THE packmakers GmbH (Betriebsgesellschaft) 
Thomas Hitscher (Besitzgesellschaft)","Errichtung einer Betriebsstätte zur überwiegenden Herstellung von 
Verpackungsmitteln und Lagerbehältern sowie logistischen 
Dienstleistungen in 19258 Gallin, Neu Galliner Ring 12, Landkreis 
Ludwigslust",2008,,755000
"Dr. Rolf Lohbeck und Heidrun Lohbeck in GbR 
(Besitzer) Privatshotels Dr. Lohbeck GmbH & Co. 
KG - Cliff Hotel Rügen (Betreiber)","Erweiterung einer Betriebsstätte des Fremdenverkehrs (Cliff - 
Hotel Rügen) in 18586 Ostseebad Sellin, Siedlung am Wald 22a, 
Landkreis Rügen",2008,,671500
Merxx Handels GmbH ,"Errichtung einert Betriebsstätte zur Erbringung von logistischen 
Dienstleistungen in 23923 Selmsdorf, An der Trave, Landkreis 
Nordwestmecklenburg",2008,,560000
SWS Seehafen Stralsund GmbH ,"Erweiterung einer Betriebsstätte zur überwiegenden Ausführung 
von Dienstleistungen für die gewerbliche Wirtschaft 
(Seehafenumschlag) in 18439 Stralsund, Zum Seglerhafen 1, 
kreisfreie Hansestadt Stralsund",2008,,406000
Zoologischer Garten Rostock gGmbH ,Neubau eines Pelikanhauses mit Außenanlagen,2008,,399682
Jens Viebahn ,"Erweiterung einer Betriebsstätte zur Herstellung von Stahl- und 
Leichtmetallkonstruktionen (Fa. Viebahn Metallkonstruktionen) in 
17111 Lindenberg, Lindenstraße 30, Landkreis Demmin",2008,,316800
Universität Rostock Medizinische Fakultät,"Unterstützung des Forschungsbereiches Regenerative Medizin - 
KTP Lasersystem, Echokardiographiegerät",2008,,270000
Ricardo Reschke Reschke Gastronomie GmbH,"Erweiterung einer Betriebsstätte des Fremdenverkehrs (Hotel und 
Restaurant) in 17192 Waren, Am Tiefwarensee 1, Landkreis Müritz",2008,,244500
"Christian und Stefan Freudenfeld in Metallbau 
Freudenfeld GbR","Erweiterung einer Betriebsstätte zur Herstellung von 
Ausbauelementen aus Stahl und Leichtmetall in 17179 Altkalen, 
Neukalener Str. 1, Landkreis Güstrow",2008,,240200
"Lang Metallwarenproduktion Neubrandenburg 
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Stanz-, Zieh- 
und Schweißteilen in 17348 Woldegk, Ziegeleiweg 17, Landkreis 
Mecklenburg-Strelitz",2008,,240100
"Abbundzentrum Wismar GmbH & Co. KG 
(Betriebsgesell.) Christoph Rick (Besitzgesell.)","Errichtung einer Betriebsstätte zur Herstellung von 
Holzerzeugnissen in 23970 Wismar, Torneywinkel 5, Hansestadt 
Wismar",2008,,190900
Hochschule Wismar ,"1. Stereo-Zoom-Mikroskop, 2. Heiz-Kühl-Mischer",2008,,180345.99
"OECO Büromübelwerke Oelschlägel & Co. 
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von Büromöbeln 
in 19306 Neustadt-Glewe, An der Autobahn 13, Landkreis 
Ludwigslust",2008,,163600
BioCon Valley GmbH ,"4. Nationale Branchenkonferenz Gesundheitswirtschaft ""Ernährung
& Bewegung"" am 08./09. Juli 2008",2008,,149100
vicont GmbH ,"Erweiterung einer Betriebsstätte zur Herstellung von 
Werbematerialien in 19053 Schwerin, Fritz-Reuter-Str. 17, 
kreisfreie Landeshauptstadt",2008,,104400
Heiko Oelke Metallbau,"Erweiterung einer Betriebsstätte zur Herstellung von 
Metallerzeugnissen in 18337 Marlow, Wokerberg 8, Landkreis 
Nordvorpommern",2008,,103900
Torsten Fleischer Kletterwald Rügen,"Errichtung einer Betriebsstätte für Freizeit und Erholung 
(Kletterwald Rügen) in 18526 Bergen, Stadtwald, Landkreis Rügen",2008,,94000
"Ulrike, Ulf und Dr. Jörg Dalibor in Solar Karnitz 
GbR",Errichtung und Betreibung einer Photovoltaik-Anlage,2008,,64000
"Fritz Hantel (Besitzgesellschaft) Modell- und 
Werkzeugbau GmbH (Betriebsgesellschaft)","Erweiterung einer Betriebsstätte zur Herstellung von Erzeugnissen 
des Werkzeug- und Gießereimodellbaus in 17358 Torgelow, 
Borkenstraße 15 h, Landkreis Uecker-Randow",2008,,57000
"J + J Schroeder GbR Jan Schroeder und Jörg 
Schroeder","Photovoltaikanlage (93 KW) auf dem Dach der Lagerhalle der J + J
Schroeder GbR",2008,,53300
"Leibniz-Institut für Plasmaforschung und  
Technologie e.V.","Ergänzungsbau für das Leibniz- Institut für Plasmaforschung und 
Technologie e.V. Greifswald",2008,,50000
CASAMA GmbH ,"Errichtung und Betrieb einer PV - Anlage in 17321 Löcknitz, An der 
Werksiedlung",2008,,49800
Wohnungsbaugesellschaft mbH Malchow ,"Installation einer Solarthermieanlage und einer Anlage zur 
kontrollierten Wohnraumlüftung (Wärmerückgewinnung) durch 
Rotationswärmetauscher in 17213 Malchow, Mecklenburger 
Straße 12-15",2008,,49400
Gemeinde Lalendorf ,"Errichtung und Betrieb ein er PV-Anlage, Dorfplatz, 18279 
Niegleve",2008,,47188.67
"Bützower Nordbau GmbH Kultur-, Tief- und 
Straßenbau",Errichtung und Betreibung einer Photovoltaikanlage,2008,,30600
Bäderverband M-V e.V.,Werbemaßnahmen des Bäderverbandes M-V,2008,,30000
"Innovations- und Bildungszentrum Hohen Luckow 
e. V.","Info-Hybrid-Bus / Anschaffung und Umrüstung eines Info-Hybrid-
Busses für touristische Anwendungen",2008,,28700
Bäderverband Mecklenburg-Vorpommern e.V.,"II. Internationaler Thalassokongress in Deutschland, in M-V in den 
Kaiserbädern der Insel Usedow vom 02. bis 05.04.2008",2008,,28200
Michael Ruhnke RM-Vertrieb,Errichtung und Betrieb einer Photovoltaikanlage,2008,,27600
IST GmbH ,Errichtung und Betreibung einer Photovoltaikanlage,2008,,26500
Silvia Fink Solar Energy,"Bau einer Photovoltaikanlage auf dem Werkhallendach der Fa. 
Elektro-Fink-Schaltanlagenbau e.K.",2008,,25800
Norbert Sündermann ,Errichtung und Betreibung einer Photovoltaik-Anlage,2008,,23200
Andreas Ruhnke Winsol Energy,Errichtung und Betreibung einer PV-Anlage als Referenzobjekt,2008,,20700
Rüdiger Nikolai Trockenbau,Errichtung und Betreibung einer PV-Anlage,2008,,20500
Ernst-Moritz-Arndt Universität Greifswald,Mikrowellenaufschlusseinheit,2008,,19300
"Goorer Berg Vermietungs- und Verwaltungs 
GmbH",Errichtung und Betreibung einer Photovoltaikanlage,2008,,19300
Detlef Urban ,"Installation und Betreibung einer dachintegrierten Photovoltaik-
Anlage",2008,,18900
Wolfgang Kerber Seehotel Ecktannen,"Errichtung einer Solarthermieanlage zur Warmwasserbereitung 
und Heizungsunterstützung",2008,,18600
DRK Kreisverband Rostock e.V. ,"Errichtung und Betreibung einer Photovoltaikanlage auf der 
Dachfläche der DRK Seniorenwohnanlage Rostock Evershagen",2008,,16900
Landkreis Müritz ,Erwerb von 2 CNC-Maschinen für die Berufsschule Waren/Müritz,2008,,16820
Oscar-Jan Foschepoth ,"Errichtung einer Photovoltaikanlage mit 13,8 kWp",2008,,12600
Iwanka Bochmann ,"Installation und Betrieb einer Luft / Wasser Wärmepumpe in 18528 
Parchtitz, Wiesenweg 5",2008,,12500
Wohnungsgenossenschaft Demmin e.G.,"Errichtung und Betreibung einer Solarthermieanlage zur 
Warmwassererzeugung mit Heizungsunterstützung",2008,,11500
Rene Aring Solarstrom,"Errichtung und Betrieb einer Photovoltaikanlage auf dem Dach 
Dorfstr. 28 in 18276 Plaatz",2008,,9200
Hoch- und Ingenieur Bau Lübz GmbH ,"Errichtung und Betrieb einer Photovoltaikanlage in 19386 Lübz, 
Industriestr. 2a",2008,,9100
"Frank Deckars und Fred Lange Deckars & Lange 
GbR","Umrüstung der Heizungsanlage von Öl auf Solarthermie und 
Biomass-Heizunganlage",2008,,8700
"Zentrum fur Lebensmitteltechnologie 
Mecklenburg-Vorpommern GmbH (ZLT)","„Möglichkeiten der Implementierung aktueller wissenschaftlicher 
Erkenntnisse aus dem Fachgebiet der Ernährungswissenschaften 
in die potenzielle regionale Produktentwicklung für das Land 
Mecklenburg-Vorpommern""",2008,,8330
Monika Becker ,Errichtung und Betreibung einer Photovoltaik-Anlage,2008,,8300
Wolfgang Stenzel Elektro Stenzel,Errichtung und Betreibung einer Photovoltaik-Anlage,2008,,6300
ARTOSS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
Cramer Boote GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
Ivica Saric IVICA Exclusiv-Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
Kuhnle Tours GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
mas-maritime assembly systems GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
VARIOVAC PS SystemPack GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
Vilm-Yachts GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,6000
Karlhans Lehmann KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,5950
"Ing. Siegmund Henning Anlagentechnik GmbH 
SHA GmbH",Förderung der Teilnahme an Messen und Ausstellungen,2008,,5670
"Wolfram und Andreas Höhne CAMPMOBIL 
Schwerin GbR",Förderung der Teilnahme an Messen und Ausstellungen,2008,,5600
Ivica Saric IVICA Exclusiv-Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,5500
Ute Pohl ,"Errichtung einer Photovoltaikanlage in 17039 Neddemin, 
Hauptstraße 37",2008,,5400
RoweMed AG Medical 4 Life,Förderung der Teilnahme an Messen und Ausstellungen,2008,,5240
Ulrike Dalibor ,"Errichtung einer Photovoltaikanlage mit einer Leistung von 5,28 
kWp in Sellin, Altensien 12A",2008,,5200
"ROTA GmbH Forschungs- und Prod. F. 
Kunststofformteile",Förderung der Teilnahme an Messen und Ausstellungen,2008,,5040
Ivica Saric IVICA Exclusiv-Yachtcharter,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4900
Klaus GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4800
Masson-Wawer Fiberglasmöbel GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4720
Masson-Wawer Wintergarten GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4700
Klappex Fenster GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4680
Cornpack GmbH & Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4570
Bernd Stockmann KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4560
Uwe Stieblich e.K. Stahlbau Stieblich,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4450
Andreas Marz Müritz-Yacht-Management e.K.,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4420
VARIOVAC PS SystemPack GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4410
Lothar Schritt Bootswerft & Bootsmotorenservice,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4270
Andreas Marz Müritz-Yacht-Management e.K.,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4250
automation & software Günther Tausch GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4250
"Korb GmbH Seebad Heringsdorf & Co. Betriebs 
KG",Förderung der Teilnahme an Messen und Ausstellungen,2008,,4220
CYBORG - Messebau - Zelte GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4200
Astech Angewandte Sensortechnik GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4190
FORUS Forst- und Spezialmaschinen GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4180
INNOMAR Technologie GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4170
Hubert Schwarz Galerie Schwarz,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4110
Andreas Manski Reitsportfachgeschäft,Förderung der Teilnahme an Messen und Ausstellungen,2008,,4030
Stralsunder Möbelwerke GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3950
JET-eeXX GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3930
Dockweiler Aktiengesellschaft ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3910
Knut Hartwich Galerie Hartwich,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3870
Steffen Rausch ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3790
Conow Anhängerbau GmbH + Co. KG ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3750
"Trebing & Himstedt Prozeßautomation GmbH & 
Co. KG",Förderung der Teilnahme an Messen und Ausstellungen,2008,,3740
Bernd Stockmann KG (GmbH & Co.) ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3720
GuG Computer GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3610
ARTOSS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3540
QUADUS GmbH ,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3510
FORUS Forst- und Spezialmaschinen GmbH,Förderung der Teilnahme an Messen und Ausstellungen,2008,,3470
