Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
S10195,ESR,Infrarakentamisen ja kaivannaisalan työnjohdon koulutus,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,2.1.2008,31.5.2012,Savonia-ammattikorkeakoulun kuntayhtymä,341 250,40 818,187 750,21 027,679 000,63 676
S10196,ESR,Ammattiosaajasta yrittäjäksi,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.5.2008,31.12.2010,Savon kolutuskuntayhtymä,401 636,143 181,253 364,81 060,795 357,269 798
S10199,ESR,Liikkeenjohdon PD-koulutus VIII,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,31.12.2008,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu ,8 405,8 297,4 010,3 958,24 080,23 863
S10209,ESR,Maahanmuuttajat työvoimaksi Etelä-Savossa,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Etelä-Savon koulutuksen kuntayhtymä / Etelä-Savon ammattiopisto,424 247,199 770,237 214,110 945,1 310 840,334 457
S10210,ESR,Työtä kaikille-hankkeen valmisteluhanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,9.1.2008,31.12.2008,Paltamon kunta,50 115,47 292,23 910,22 563,84 600,79 834
S10212,ESR,"HYVÄ JOHTAJA 2020, Johtamisosaamisen tuki -kehittämishanke",Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.5.2008,31.12.2010,Helsingin kauppakorkeakoulu Pienyrityskeskus,192 324,124 938,99 076,64 362,672 621,192 751
S10213,ESR,RUSSIA SERVICES,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Helsingin kauppakorkeakoulu Pienyrityskeskus,291 256,130 282,124 824,55 835,695 027,213 519
S10120,ESR,Monialainen innovatiivinen tuote- ja palvelukehitysympäristö,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.2.2008,31.12.2010,Pohjois-Karjalan ammattikorkeakoulu,285 200,46 241,174 800,28 341,518 000,90 687
S10126,ESR,Tarkkuustekniikan koulutuksen kehittäminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.2.2008,30.6.2010,Pohjois-Karjalan ammattikorkeakoulu,195 000,63 730,105 000,34 316,350 000,115 568
S10127,ESR,VIRE,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Warkop Oy,806 936,235 770,378 421,110 004,1 435 725,387 915
S10128,ESR,"AIVO - Aikuisopiskelun tieto-, neuvonta- ja ohjauspalvelut",Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.5.2008,31.12.2010,"Pohjois-Karjalan koulutuskuntayhtymä, Pohjois-Karjalan Aikuisopisto",663 300,162 856,326 700,80 212,1 100 000,294 671
S10130,ESR,VAHVAA OSAAMISTA POHJOIS-KARJALAAN TYÖYHTEISÖISTÄ,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.2.2008,31.12.2010,Pohjois-Karjalan kauppakamari,490 888,37 393,288 299,21 961,890 500,61 271
S10133,ESR,Osaavan työvoiman saatavuuden varmistaminen - Työvoimaresurssit käyttöön,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.3.2008,31.12.2010,Ylä-Savon koulutuskuntayhtymä,571 044,290 924,267 220,135 762,1 526 326,457 189
S10137,ESR,VYÖHYKE - nuorisoalan osaamisyhteisö,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.4.2008,31.12.2010,Joensuun kaupunki / nuorisotoimi,254 200,85 467,155 800,52 383,461 250,137 850
S10138,ESR,ETAPPI - Iisalmen seudun välityömarkkinahanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,15.2.2008,31.12.2010,Iisalmen kaupunki,681 016,218 693,319 384,102 037,1 274 964,382 035
S10140,ESR,Viva3,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2008,31.12.2010,Mikkelin ammattikorkeakoulu Oy,226 459,99 509,128 208,53 650,600 920,170 187
S10141,ESR,Ephemera (osana Digitalian käynnistämistä),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2008,31.5.2011,Helsingin yliopisto / Kansalliskirjasto / Kansallinen digitointikeskus,490 145,74 961,285 118,39 180,965 036,118 252
S10146,ESR,TUOTEKEHITYSSTUDIO -Teollisen muotoilun ja materiaalitekniikan monialainen tuotekehitysympäristö,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.5.2008,31.12.2010,Mikkelin ammattikorkeakoulu Oy,211 996,64 075,124 504,37 631,387 500,117 614
S10148,ESR,World class materials technology in Mikkeli,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2008,31.12.2010,Lappeenrannan teknillinen yliopisto,426 105,303 248,234 024,161 870,1 205 768,528 342
S10157,ESR,VETÄVÄ 2,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2008,31.7.2010,Myllyprojektiyhdistys ry,83 306,56 896,49 145,32 958,214 900,99 854
S10160,ESR,TYÖHYVINVOINTIA JA KUNTOUTUMISTA TYÖSSÄ MIKRO- JA PIENRYITYKSISSÄ,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,28.7.2008,31.12.2010,"Hengitysliitto Heli ry/Verve, Liperi (Kaprakka toimii 1.1.2009 alkaen nimellä Verve)",92 536,14 688,53 284,7 234,260 000,24 422
S10162,ESR,Startti yrittäjäksi,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2008,31.12.2013,"Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus, etok -vastuualue",326 439,214 262,146 661,96 262,2 174 900,310 524
S10167,ESR,SYKE-projektin esiselvityshanke,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,10.3.2008,30.6.2008,Kainuun Etu Oy,19 508,17 962,9 307,8 569,33 900,31 213
S10219,ESR,Hakijasta tekijäksi,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2008,31.12.2010,Pohjois-Karjalan koulutuskuntayhtymä/Pohjois-Karjalan Aikuisopisto,560 456,180 652,263 744,85 013,941 700,314 185
S10220,ESR,Hyvinvoinnissa maaseudun voima,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2008,31.12.2010,"Maataloustuottajain Pohjois-Karjalan liitto,MTK-Pohjois-Karjala r.y.",259 283,57 163,115 047,26 367,436 670,97 446
S10221,ESR,"LaatuSavo, Pohjois-Savon matkailukeskusten laadullinen kehittäminen",Programdelen för storområdet Östra Finland,3,Norra Savolax förbund,Verksamhet pågår,1.3.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtymä,68 047,30 209,37 683,16 729,213 600,61 279
S10227,ESR,Voimavuodet - Hyvinvoivat työyhteisöt,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.4.2008,31.12.2010,Mikkelin ammattikorkeakoulu Oy,105 604,12 263,55 870,6 488,330 278,26 651
S10229,ESR,Perkuu Kainuun rakennetyöttömien kuntoutushanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,15.8.2008,31.12.2010,Kainuun Nuotta ry,128 268,99 172,67 091,51 250,415 685,171 911
S10231,ESR,AmmattiURA -hanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2008,31.12.2010,Pohjois-Karjalan koulutuskuntayhtymä,462 159,199 529,207 638,89 644,766 570,370 255
S10232,ESR,"AmmattiURA -hanke, muut seutukunnat",Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,18.8.2008,31.12.2010,Pohjois-Karjalan koulutuskuntayhtymä,294 799,99 391,145 201,48 954,503 430,168 232
S10234,ESR,Ajoneuvotietojärjestelmien osaamisen ja opetuksen integroinnin kehityshanke Kajaanin ammattikorkeakoulussa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.4.2008,31.12.2010,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,240 000,121 934,186 100,94 550,480 000,244 469
S10239,ESR,Kaivannaisteollisuuden osaamispalvelut -kehittämishanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2008,31.12.2010,Pohjois-Karjalan koulutuskuntayhtymä,79 194,77 767,39 006,38 303,690 100,137 937
S10241,ESR,Väylä-hanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Sauva-säätiö,631 950,395 876,325 550,203 936,1 579 400,651 529
S10252,ESR,InFotonics Center Joensuu - palvelutoiminnan kehittäminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2008,31.12.2009,Joensuun yliopisto,259 200,202 605,140 800,106 698,439 000,325 661
S10254,ESR,Laadukas tuote - laadukas tuotantoketju,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.9.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtymä,165 522,43 770,95 778,24 273,406 000,86 704
S10256,ESR,Intl Practicum - kansainvälinen työharjoittelu yritysten kansainvälistymisen työkalu,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,"Kuopion yliopisto, kansainvälisten asioiden osasto",396 362,41 355,196 107,19 725,654 649,71 123
S10257,ESR,KYY - Kohti Yrittäjyys Yhteiskuntaa: Ideasta liiketoiminnaksi - aloittavan yritystoiminnan tukeminen,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,"Helsingin yliopisto, Ruralia-instituutti, Mikkeli",283 716,127 651,142 284,64 017,494 400,206 865
S10259,ESR,Lääkäreiden työperäisen maahanmuuton edistäminen,Programdelen för storområdet Östra Finland,4,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.8.2008,31.12.2010,Joensuun yliopisto,350 000,101 553,150 000,43 522,774 250,240 297
S10262,ESR,"Tasa-arvo Kainuun hyvinvoinnin, työllisyyden ja kilpailukyvyn edistäjänä",Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.5.2008,31.10.2010,"Oulun yliopisto, Kajaanin yliopistokeskus, AIkuiskoulutusyksikkö",136 706,66 746,66 698,32 037,312 515,103 676
S10265,ESR,Liikuntateknologian maisteri- ja tohtorikoulutus (Vuotech),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,5.12.2007,4.12.2010,Jyväskylän yliopisto,455 305,281 387,264 365,153 768,805 000,506 508
S10266,ESR,TOIMINTAEDELLYTYSTEN LUOMINEN BIOENERGIAN TUOTANNON JA KÄYTÖN VAIKUTUSTEN TUTKIMUSKESKUKSELLE,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.6.2008,31.12.2010,Kuopion yliopisto,331 338,60 279,170 690,31 053,562 320,91 706
S10267,ESR,Nuoren yrityksen tuki - NYT,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.5.2008,31.12.2010,Helsingin kauppakorkeakoulu Pienyrityskeskus,304 914,126 658,159 894,66 419,756 200,193 077
S10268,ESR,Biokeskus Kuopion innovaatiotoiminnan ja verkostoitumisen kehittäminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,28.2.2010,Kuopion yliopisto (1.1.2010 lähtien Itä-Suomen yliopisto),432 466,214 395,213 006,105 598,737 464,328 493
S10269,ESR,Aikuiskoulutuksen kompetenssin toteuttamisohjelma II,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Kuopion yliopisto,428 604,200 695,220 796,103 388,1 100 000,310 055
S10270,ESR,Bioalan tutkimustoiminnan kehittämisohjelma BIOKEHO SOTKAMO ESR,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,28.2.2011,"Oulun yliopisto, Kajaanin yliopistokeskus, Biotekniikan laboratorio",489 577,228 661,246 033,114 912,1 365 900,461 582
S10272,ESR,Englanninkielisen liikunnanohjaajakoulutuksen suunnittelu ja integroiminen Kainuuseen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.1.2008,31.8.2009,Kajaanin kaupunki / Kajaanin ammattikorkeakoulu,61 335,37 724,34 627,21 297,106 625,65 579
S10282,ESR,Siviilikriisinhallinnan asiantuntijuuden alueellinen kehittämishanke 2008-2012,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Pelastusopisto/Kriisinhallintakeskus,717 819,343 404,382 044,171 435,1 359 863,514 839
S10286,ESR,SMARC innovations (lyhenne SMARCi),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,26.2.2008,31.12.2010,Joensuun yliopisto,302 922,96 325,186 978,51 867,699 900,192 192
S10289,ESR,Muovitekniikan verkostoprofessuuri Mikkelin tutkimusyksikkö (Muovepro),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Helsingin yliopisto (Mikkelin yliopistokeskuksen koordinaatioyksikkö),115 500,19 748,59 500,10 173,205 000,29 921
S10302,ESR,Sähköisen hoitotyön kirjaamisen ja asioinnin käyttöönotto ja kehittäminen kainuulaisissa kolmannen sektorin asumis- ja hoiva-alan toimintayksiköissä,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.10.2008,31.5.2010,Kajaanin Arvola-koti ry,45 291,23 797,21 608,11 353,76 230,35 150
S10303,ESR,Ennakoimalla eteenpäin Etelä-Savossa,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.6.2008,31.12.2010,Etelä-Savon TE-keskus,146 220,70 170,146 219,70 170,455 400,140 340
S10304,ESR,Yritysten ympäristötietopalvelu osana YritysSuomi-palvelujärjestelmää,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Etelä-Savon TE-keskus/Yritysosasto,204 594,81 447,123 506,41 957,328 100,123 404
S10305,ESR,"Sähäkkä-hanke, Testausprosessit nykyaikaisessa tuotekehitysprojektissa",Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.4.2008,30.9.2010,Savonia-ammattikorkeakoulun kuntayhtymä,157 268,80 660,87 568,42 576,266 540,123 862
S10306,ESR,Toimivat välityömarkkinat Etelä-Savoon. Välityömarkkinoiden tukirakenne-hanke.,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,"Etelä-Savon TE-keskus, työvoimaosasto",256 406,112 816,155 914,43 033,621 095,155 849
S10307,ESR,Työtä ja Elämää Etelä-Savossa TEESA,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Etelä-Savon TE-keskus,774 095,276 336,416 958,142 355,1 742 255,418 691
S10308,ESR,Verkko,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.3.2008,28.2.2011,Etelä-Savon TE-keskus,788 986,145 641,461 188,129 759,2 205 768,275 400
S10314,ESR,Profiloidu osaajaksi,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.11.2008,31.12.2010,Honkalampi-säätiö,247 469,82 161,111 183,36 912,496 450,149 073
S10315,ESR,Keski-Karjalan työvoimapörssi,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.9.2008,31.12.2010,Keski-Karjalan Kehitysyhtiö Oy,224 092,68 804,100 328,29 487,374 420,113 440
S10316,ESR,Outokummun Sisältökaivos - Kansainvälinen peli- ja simulaatiostudio sekä yrityshautomotoiminta (kehittämisosio),Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.9.2008,31.12.2010,Pohjois-Karjalan koulutuskuntayhtymä,407 503,219 261,180 347,93 969,766 800,427 182
S10319,ESR,Korkeakouluverkoston innovaatiopalveut (KIP),Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2008,31.12.2010,Savonia-ammattikorkeakoulutuksen kuntayhtymä,249 712,86 629,141 603,45 824,781 758,139 728
S10323,ESR,VASTAANOTTAVA POHJOIS-SAVO,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2008,31.12.2010,"Kuopion kaupunki, koulutuspalvelukeskus",527 377,54 717,247 205,25 529,1 185 203,86 257
S10326,ESR,Osaavaa työ- ja työhönvalmennusta: työ- ja työhönvalmennuspalveluita tarjoavien organisaatioiden toiminnan ja henkilöstön osaamisen kehittäminen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Kuopion yliopisto,327 303,69 788,152 697,32 561,822 698,106 169
S10329,ESR,Tulevaisuuden työvoima,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.6.2008,31.12.2010,Kainuun ELY-keskus,506 556,182 685,250 839,87 160,1 418 893,275 847
S10330,ESR,East Side Story - Puhtia itäsuomalaiseen tapahtumamatkailuun,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2009,Joensuun yliopisto,81 180,56 347,41 820,29 027,142 800,99 316
S10332,ESR,Aikuiskoulutuksen ohjauspalveluhanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.4.2008,31.12.2011,Etelä-Savon Koulutus Oy,405 880,181 588,209 090,93 545,1 172 839,286 208
S10334,ESR,Vaikeavammaisten yhteiskunnallisen tasa-arvon ja osallisuuden kehittäminen,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.3.2008,31.12.2010,Joensuun yliopisto,438 259,67 636,248 941,33 313,1 324 875,151 176
S10335,ESR,"Erityisryhmien työnhaun ja koulutusedellytysten parantaminen hyödyntäen taiteen eri osa-alueita, Matkakumppanit",Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.11.2008,31.3.2011,Kainuun Sosiaaliturvayhdistys ry,99 060,29 192,47 262,13 928,316 129,49 295
S10341,ESR,Keski-Karjalan II asteen koulutusstrategia,Programdelen för storområdet Östra Finland,3,Norra Karelens landskapsförbund,Verksamhet pågår,1.2.2008,30.6.2009,Kiteen kaupunki,15 385,0,9 955,0,51 500,0
S10342,ESR,Metsäalan uuden liiketoiminnan ennakointi,Programdelen för storområdet Östra Finland,3,Norra Karelens landskapsförbund,Verksamhet pågår,1.4.2008,31.3.2011,Joensuun yliopisto,171 142,84 080,71 143,21 715,614 430,125 795
S10343,ESR,Yritysten kehittämisen ja avainhenkilöiden koulutus- ja konsultointiohjelmat,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.10.2008,31.12.2010,Pohjois-Karjalan TE-keskus,1 860 480,395 048,875 520,110 259,2 862 000,524 986
S10348,ESR,Metallialan Oppimistehdas ja digitaalisen tuotannon tutkimusyksikkö,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2008,31.12.2011,Savon koulutuskuntayhtymä,676 500,71 797,348 500,36 986,1 593 500,115 032
S10349,ESR,PeLE - Henkilökohtaisten oppimisympäristöjen kehittäminen,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.8.2008,31.7.2011,Savonia-ammattikorkeakoulun kuntayhtymä,158 242,46 984,81 518,24 203,627 270,79 986
S10353,ESR,Työtä ja yrittäjyyttä Taiteen ja kulttuurin Senioriakatemialla,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.6.2008,31.5.2011,"Oulun yliopisto, Kajaanin yliopistokeskus, Aikuiskoulutusyksikkö",65 031,41 734,29 969,19 232,210 000,70 966
S10363,ESR,METSÄENERGIA - Metsäenergian ja -biomateriaalien kehittämis- ja tutkimuskeskus,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.11.2008,30.11.2010,Joensuun yliopisto,290 945,106 092,171 905,60 519,851 900,201 611
S10367,ESR,"Mittalaitelaboratorion osaamisen  kehittämisohjelma, KETO-ES",Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,4.1.2008,31.12.2010,"Oulun yliopisto, Kajaanin yliopistokeskus, Mittalaitelaboratorio (Mila)",551 428,384 058,327 445,228 058,1 507 710,688 937
S10070,ESR,Menestyvä luovuus,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Taito Itä-Suomi ry,350 450,96 714,120 990,49 823,501 440,156 415
S10073,ESR,Kainuulainen työ- ja terveyskunnon toimintamalli -projekti,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,31.12.2010,Kainuun maakunta -kuntayhtymä,406 347,260 970,208 613,129 469,1 105 509,453 619
S10074,ESR,Miktech yrityshautomo,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Mikkelin teknologiakeskus Oy,255 741,198 567,148 487,119 284,715 961,423 783
S10079,ESR,Etelä Savon urheiluakatemia,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Tanhuvaaran Säätiö (myöhemmin käytetään mineä Tanhuvaaran Urheiluopisto),151 185,50 975,83 381,25 062,454 000,102 704
S10081,ESR,"Laajakaista hyödyksi II Kainuun sähköisten palveluiden kehittämis- ja tukihanke, jatko",Programdelen för storområdet Östra Finland,3,Samkommunen för landskapet Kajanaland,Verksamhet pågår,1.4.2008,31.8.2010,Kainuun Nuotta ry,149 558,97 034,100 000,67 120,288 962,192 685
S10083,ESR,VÄLKE - Välityömarkkinoiden kehittämishanke 2008-2010,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Kuopion kaupunki / talous- ja strategiapalvelu / seutuyhteistyö,987 975,358 612,462 025,167 289,2 451 425,575 222
S10084,ESR,Maaseutuyrittäjien työhyvinvointi,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,31.12.2010,ProAgria Kainuu ry / maa- ja kotitalousnaisten piirikeskus,115 407,69 916,59 391,34 626,316 920,141 552
S10085,ESR,PRO-OSA  - Tuottavuuden ja osaamisen proaktiivinen kehittämishanke Etelä-Savossa,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Työväen sivistysliitto TSL  ry:n opintokeskus,811 988,213 638,374 502,110 056,1 226 391,324 067
S10087,ESR,VENTTIILI - Etelä-Savon toisen asteen opiskelijoiden ammattiurien kehittämishanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.4.2008,31.12.2010,Etelä-Savon Koulutus Oy,350 717,196 701,196 458,106 004,1 080 000,345 221
S10088,ESR,ENC- pinnoitushanke,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Norra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Savonia-ammattikorkeakoulun kuntayhtymä,233 479,98 845,122 519,46 787,397 764,150 568
S10089,ESR,Sytyke; Hyrynsalmen sosiaalisen työllistämisen ja työpajan kehittämishanke,Programdelen för storområdet Östra Finland,2,"Närings-, trafik- och miljöcentralen i Kajanaland",Verksamhet pågår,1.3.2008,31.10.2009,Hyrynsalmen kunta,104 782,86 082,52 630,42 450,179 900,146 894
S10092,ESR,SEITTI 2010,Programdelen för storområdet Östra Finland,1,"Närings-, trafik- och miljöcentralen i Norra Karelen",Verksamhet pågår,1.1.2008,31.12.2010,Pohjois-Karjalan kansanterveys ry,272 018,95 671,133 982,47 122,464 000,156 285
S10094,ESR,Juvenia - Nuorisoalan osaamiskeskittymä,Programdelen för storområdet Östra Finland,3,"Närings-, trafik- och miljöcentralen i Södra Savolax",Verksamhet pågår,1.1.2008,31.12.2010,Mikkelin Ammattikorkeakoulu Oy,278 718,184 801,154 327,99 169,657 100,320 870
